title;price_raw;size_raw;rooms_raw;floor_raw;free_raw;post;cold_hot_rent;additional_details
Terrassenwohnung zum Kauf - Neubau · provisionsfrei;680.400 €;85,8 m²;3 Zimmer;EG;;12209;7.929 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;765.900 €;78 m²;3 Zimmer;2. Geschoss;;14059;9.826 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;724.500 €;67,7 m²;3 Zimmer;6. Geschoss;;14059;10.700 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;399.950 €;39,4 m²;2 Zimmer;5. Geschoss;;10249;10.161 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;874.000 €;120,8 m²;3 Zimmer;4. Geschoss;;12347;7.238 €/m²;
Terrassenwohnung zum Kauf - Neubau · provisionsfrei;575.000 €;75,7 m²;3 Zimmer;EG;;12209;7.592 €/m²;
Wohnung zum Kauf - Neubau;335.000 €;46,8 m²;2 Zimmer;EG;;14469;7.144 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;659.000 €;109,5 m²;5 Zimmer;EG;frei ab 31.12.2026;10318;6.016 €/m²;
Wohnung zur Miete;1.000 €;40 m²;1,5 Zimmer;;frei ab sofort;13597;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;700.000 €;88,9 m²;3 Zimmer;3. Geschoss;;12167;7.875 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;690.000 €;88,9 m²;3 Zimmer;1. Geschoss;;12167;7.762 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;695.000 €;88,9 m²;3 Zimmer;2. Geschoss;;12167;7.819 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;478.000 €;62,4 m²;2 Zimmer;EG;;12167;7.659 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;755.900 €;78 m²;3 Zimmer;1. Geschoss;;14059;9.697 €/m²;
