id	object_type	marketing_type	is_valid	price_euro	size_sqm	size_category	price_per_sqm	listings_per_1k_bundesland	listings_per_1k_city	density_city	density_land	population_land	zip	city	bundesland	short_name	country	rooms	floor	free	cold_hot_rent	predicted_price_per_sqm	predicted_price	gap	ratio	MAE	RMSE	bias	price_category
9252	Studio	zur Miete	True	575	63,8	medium	9,012539185	2546,173175		45,3065795	314,5897568	11245898	79865	Grafenhausen	Baden-Württemberg	BW	Germany	2	EG	01.05.2026	Kaltmiete	10,84452723	691,8808374	1,831988047	0,203271022	3,105079894	4,843472568	-0,156819158	Underpriced
9253	Wohnung	zur Miete	True	1176	98	medium	12	1276,299508		185,9249739	187,2601208	2959517	23701	Eutin	Schleswig-Holstein	SH	Germany	3,5	1	sofort	Kaltmiete	11,83071384	1159,409956	-0,169286158	-0,01410718	3,105079894	4,843472568	-0,156819158	Fair Price
9254	Terrassenwohnung	zur Miete	True	1562	97,5	medium	16,02051282	2546,173175		167,6864739	314,5897568	11245898	76593	Gernsbach	Baden-Württemberg	BW	Germany	3	EG	01.10.2027	Kaltmiete	15,09201541	1471,471502	-0,928497414	-0,057956785	3,105079894	4,843472568	-0,156819158	Fair Price
9255	Wohnung	zur Miete	True	1194	149,3	large	7,997320831	4299,342993		185,132991	219,1032447	4042422	4567	Kitzscher	Sachsen	SN	Germany	6	2		Kaltmiete	6,127885721	914,8933381	-1,86943511	-0,233757673	3,105079894	4,843472568	-0,156819158	Overpriced
9256	Wohnung	zur Miete	True	396	28	small	14,14285714	1554,377963	7,144904081	1259,639024	67,5511378	1573597	17489	Greifswald	Mecklenburg-Vorpommern	MV	Germany	1	2	sofort	Kaltmiete	13,4902053	377,7257485	-0,65265184	-0,0461471	3,105079894	4,843472568	-0,156819158	Fair Price
9257	Wohnung	zur Miete	True	630	85	medium	7,411764706	1984,193403		676,2773039	528,6783023	18034454	53340	Meckenheim	Nordrhein-Westfalen	NW	Germany	3	1		Kaltmiete	7,061897161	600,2612587	-0,349867545	-0,047204351	3,105079894	4,843472568	-0,156819158	Fair Price
9258	Zimmer	zur Miete	True	250	18,7	small	13,36898396	8566,836669	3,389812049	1180,006426	187,8172845	13248928	95028	Hof	Bayern	BY	Germany	WG	2	sofort	Kaltmiete	18,94083238	354,1935655	5,571848423	0,416774262	3,105079894	4,843472568	-0,156819158	Underpriced
9259	Wohnung	zur Miete	True	785	50	small	15,7	2546,173175	9,609320618	4370,756443	314,5897568	11245898	70186	Stuttgart	Baden-Württemberg	BW	Germany	3			Kaltmiete	16,84220878	842,1104392	1,142208785	0,072752152	3,105079894	4,843472568	-0,156819158	Fair Price
9260	Einfamilienhaus	zur Miete	True	2100	151	large	13,90728477	1005,018885		869,282512	207,9562914	4129569	55129	Mainz	Rheinland-Pfalz	RP	Germany	5		01.06.2026	Kaltmiete	14,62157338	2207,857581	0,714288614	0,051360753	3,105079894	4,843472568	-0,156819158	Fair Price
9261	Wohnung	zur Miete	True	830	87	medium	9,540229885	8566,836669		851,5319023	187,8172845	13248928	96450	Coburg	Bayern	BY	Germany	3	1	10.04.2026	Kaltmiete	11,37679823	989,7814463	1,836568348	0,192507767	3,105079894	4,843472568	-0,156819158	Fair Price
9262	Wohnung	zur Miete	True	970	102	large	9,509803922	1005,018885		330,6334778	207,9562914	4129569	54516	Wittlich	Rheinland-Pfalz	RP	Germany	3		01.04.2026	Kaltmiete	7,356702199	750,3836243	-2,153101723	-0,226408635	3,105079894	4,843472568	-0,156819158	Overpriced
9299	Terrassenwohnung	zur Miete	True	1100	64	medium	17,1875	1984,193403	3,909573661	1023,129463	528,6783023	18034454	40667	Meerbusch	Nordrhein-Westfalen	NW	Germany	2,5	EG	30.04.2026	Kaltmiete	14,83067027	949,1628973	-2,356829729	-0,137124639	3,105079894	4,843472568	-0,156819158	Fair Price
9300	Zimmer	zur Miete	True	690	72	medium	9,583333333	2546,173175		124,7308014	314,5897568	11245898	88299	Leutkirch im Allgäu	Baden-Württemberg	BW	Germany	WG	2	01.06.2026	Kaltmiete	17,04750079	1227,420057	7,464167456	0,778869648	3,105079894	4,843472568	-0,156819158	Underpriced
9570	Wohnung	zur Miete	True	1607	84	medium	19,13095238	157,2964809	244,2449126	1592,663675	2466,679469	1862565	22335	Hamburg	Hamburg	HH	Germany	2	4	sofort	Kaltmiete	17,56590127	1475,535707	-1,565051109	-0,081807276	3,105079894	4,843472568	-0,156819158	Fair Price
9571	Studio	zur Miete	True	500	16	small	31,25	1438,91378	33,2356332	4422,963724	297,4465919	6280793	60329	Frankfurt am Main	Hessen	HE	Germany	1		01.04.2026	Kaltmiete	27,46998667	439,5197867	-3,780013329	-0,120960427	3,105079894	4,843472568	-0,156819158	Fair Price
9572	Studio	zur Miete	True	630	17	small	37,05882353	1438,91378	33,2356332	4422,963724	297,4465919	6280793	60329	Frankfurt am Main	Hessen	HE	Germany	1		01.06.2026	Kaltmiete	27,44344957	466,5386427	-9,615373958	-0,259462472	3,105079894	4,843472568	-0,156819158	Overpriced
9573	Wohnung	zur Miete	True	429	63,4	medium	6,766561514	2324,549849		279,0710956	167,7744188	8004489	26388	Wilhelmshaven	Niedersachsen	NI	Germany	3	EG	27.03.2026	Kaltmiete	7,30659025	463,2378218	0,540028736	0,079808442	3,105079894	4,843472568	-0,156819158	Fair Price
9574	Studio	zur Miete	True	540	12	small	45	1438,91378	32,43601554	4531,999309	297,4465919	6280793	60489	Frankfurt am Main	Hessen	HE	Germany	1		15.04.2026	Kaltmiete	27,57107161	330,8528594	-17,42892839	-0,38730952	3,105079894	4,843472568	-0,156819158	Overpriced
9575	Wohnung	zur Miete	True	1300	76	medium	17,10526316	1005,018885	1,676641763	8350,024619	207,9562914	4129569	55116	Mainz	Rheinland-Pfalz	RP	Germany	2,5	3		Kaltmiete	16,36953132	1244,08438	-0,735731842	-0,043012015	3,105079894	4,843472568	-0,156819158	Fair Price
9576	Wohnung	zur Miete	True	1850	83	medium	22,28915663	5729,657052	484,9583353	3583,813028	86,21807474	2556747	10117	Berlin	Brandenburg	BB	Germany	2			Kaltmiete	13,22897461	1098,004892	-9,060182018	-0,406483842	3,105079894	4,843472568	-0,156819158	Overpriced
9577	Terrassenwohnung	zur Miete	True	1753	95	medium	18,45263158	8566,836669	10,12304453	1086,629617	187,8172845	13248928	96050	Bamberg	Bayern	BY	Germany	2,5	EG	sofort	Kaltmiete	15,3082001	1454,27901	-3,144431479	-0,170405585	3,105079894	4,843472568	-0,156819158	Fair Price
9578	Wohnung	zur Miete	True	359	48,5	small	7,402061856	1984,193403	4,615601878	3033,19055	528,6783023	18034454	46117	Oberhausen	Nordrhein-Westfalen	NW	Germany	2	EG	31.03.2026	Kaltmiete	8,5635009	415,3297936	1,161439044	0,156907503	3,105079894	4,843472568	-0,156819158	Fair Price
9579	Wohnung	zur Miete	True	682	56	medium	12,17857143	157,2964809	79,96701204	4864,505877	2466,679469	1862565	22041	Hamburg	Hamburg	HH	Germany	2	2	sofort	Kaltmiete	17,88740091	1001,694451	5,70882948	0,468760192	3,105079894	4,843472568	-0,156819158	Underpriced
